predict,gender,weight,height
2,female,65.23001251,141.3058226
2,female,63.36900376,131.0414027
2,female,64.47999743,128.1715112
2,female,61.79309615,129.781407
0,female,65.96801895,156.8020826
1,female,62.85037864,114.9690383
0,female,65.65215644,165.0830012
1,female,61.89023374,111.6761992
1,female,63.67786815,104.1515596
0,female,68.10117224,166.5756608
1,female,61.79887853,106.233687
2,female,63.37145896,128.1181691
1,female,58.89588635,101.6826134
1,female,58.4382491,98.19262093
2,female,60.80979868,126.9154633
0,female,70.12865283,151.2542704
1,female,62.25742965,115.7973934
1,female,61.73509022,107.8668724
2,female,63.05955669,145.5899291
2,female,62.28683837,139.5227077
1,female,61.82747755,122.7661667
0,female,66.34753722,157.3809648
2,female,65.32063203,145.0373756
0,female,66.1038728,148.6451826
2,female,64.52718203,132.6808682
1,female,56.54797498,84.87212365
2,female,62.73928093,138.5304211
2,female,61.58519865,137.4252868
2,female,62.02442483,124.6039406
2,female,65.31133414,140.2667004
1,female,61.20495607,108.2901042
0,female,67.02509352,150.2191759
1,female,60.21116656,119.0375342
2,female,63.93997277,139.4959573
2,female,63.35780516,125.6132382
2,female,63.68506845,132.2829779
2,female,60.28887039,130.440809
2,female,63.40728979,128.8483894
1,female,60.63160012,109.7196963
2,female,67.37359659,146.023295
0,female,66.8727416,158.8551942
1,female,60.04714722,114.6035259
2,female,64.15447227,133.1383556
2,female,63.46166489,128.9509609
0,female,67.24386795,154.0615748
2,female,66.21359451,139.0011336
2,female,64.69282138,138.6808136
0,female,66.19928328,180.6983171
0,female,65.85337582,149.1185284
2,female,65.04952022,145.0735386
2,female,64.47761515,144.6382457
2,female,62.54007732,139.4786439
2,female,61.59623162,129.9771492
1,female,60.95032891,117.4225887
2,female,63.5532238,137.4920704
2,female,62.24834635,138.3824133
2,female,66.19059084,141.2719561
1,female,62.54805798,123.7128539
2,female,66.62983432,145.5947116
1,female,59.60856014,109.813156
0,female,64.49339476,159.4560658
0,female,64.9365559,152.419352
2,female,61.37925849,141.4274506
0,female,66.07078721,147.7523301
2,female,63.91443166,131.5137046
0,female,69.61980602,157.0237338
0,female,67.18153588,156.9508471
2,female,63.39905083,143.8404297
1,female,61.2131715,98.70749259
2,female,59.6678488,126.3552557
2,female,64.08940647,134.2110172
1,female,60.57806288,118.2428118
2,female,62.1148664,145.3373594
1,female,56.15945802,90.81525566
0,female,67.44927297,170.8303536
0,female,65.06514463,156.1631269
2,female,65.52885617,138.9895355
2,female,63.14965274,124.1937717
1,female,58.87430067,102.9270775
2,female,66.02123191,141.6562452
2,female,61.52509112,133.5285077
2,female,63.5843105,133.1894038
1,female,59.78676291,116.9048715
2,female,67.14920636,139.5528148
2,female,62.32308708,127.130913
2,female,65.14765956,134.6620247
0,female,70.62859645,170.1484685
0,female,67.38745119,164.8926584
0,female,68.13040881,177.2401312
2,female,63.48845964,124.0528718
1,female,61.16306528,107.2354433
0,female,70.71013953,161.3634843
2,female,65.20885481,137.7030416
